source,reviewer_name,rating,comment
google,Ali,2,Oda çok kirliydi ve personel çok ilgisizdi
google,Ayşe,5,Otel çok temizdi personel güler yüzlüydü
google,Mehmet,2,Wifi çok yavaştı ve hiç çekmiyordu
booking,Can,5,Kahvaltı harikaydı ve oda çok rahattı
booking,Zeynep,1,Banyo kirliydi ve havlular temiz değildi
booking,Fatma,2,Resepsiyon personeli çok kabaydı
trivago,Emre,3,Otel ortalama seviyedeydi fena değildi
trivago,Elif,1,Fiyat çok pahalıydı ve hizmet buna değmezdi
trivago,Burak,4,Konumu güzeldi ve oda sessizdi
tripadvisor,Deniz,5,Yemekler çok lezzetliydi ve çalışanlar çok ilgiliydi
tripadvisor,Ece,2,Oda çok küçüktü ve klima çalışmıyordu
tripadvisor,Mert,1,Genel olarak memnun kalmadım
